,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,Target,Signal,Market_Pct_Change,Trade_Cost,Strategy_Returns,Market_Performance,Bot_Performance
2007-05-16,1.3591,1.361,1.3503,1.3515,1.3543364499574313,-0.0020943466134434,41.38613861386124,-3.5600979452786063,-0.0008871146595698,0.0079171291157972,0,0,-0.0015538290788013054,0.0,-0.0,1.0192612735100839,1.0588165748789011
2007-05-17,1.3517,1.3543,1.3476,1.3494,1.3538663118662475,-0.0032989312364903,33.82045929018783,-7.565679323673407,0.0011128421989761,0.0049651697050542,1,1,0.001037498147324678,0.0001,0.000937498147324678,1.0203187551929904,1.0598092134562067
2007-05-18,1.3493,1.3521,1.3465,1.3508,1.3535742821647,-0.0020495972782988,35.918367346938794,2.097908056750967,-0.0010353498003254,0.0041456914421084,0,0,-0.0029612081729345485,0.0001,-0.0001,1.0172973789561146,1.0597032325348612
2007-05-21,1.3519,1.353,1.3437,1.3468,1.352929112434729,-0.004530253934516,36.0655737704918,0.1472064235530013,-0.0056847545219638,0.0069052569052569,0,1,-0.0015592515592515177,0.0001,-0.0016592515592515178,1.015711156431755,1.0579449182939338
2007-05-22,1.3467,1.3475,1.3438,1.3447,1.3521453874409448,-0.0055063512475059,35.41247484909462,-0.6530989213971736,-0.010522442972774,0.002751543095114,1,0,0.0009667583847698946,0.0001,-0.0001,1.0166931037087397,1.0578391238021043
2007-05-23,1.3448,1.3501,1.3416,1.346,1.351560112446569,-0.0041138476900625,40.38461538461552,4.9721405355209,-0.0040695523492414,0.0063150074294206,0,1,-0.0023774145616642928,0.0001,-0.0024774145616642926,1.0142760027192388,1.0552184177528987
2007-05-24,1.3458,1.3462,1.3415,1.3428,1.3507258160230862,-0.0058678200483514,32.39130434782621,-7.993311036789315,-0.0048910626945308,0.0035001489425083,1,1,0.001042597557342928,0.0,0.001042597557342928,1.0153334844021453,1.056318585897711
2007-05-25,1.3428,1.3472,1.3411,1.3442,1.3501043097351733,-0.004373224863145,32.82937365010805,0.4380693022818462,-0.004885993485342,0.004538015176313,1,1,0.0006695432227346032,0.0,0.0006695432227346032,1.0160132940554423,1.0570258368479475
2007-05-28,1.3449,1.3461,1.3445,1.3451,1.349627708808014,-0.0033547835291651,38.8888888888888,6.059515238780747,-0.0012622512622513,0.001189502639209,0,0,-0.00022303174485160948,0.0001,-0.0001,1.0157866908376767,1.0569201342642627
2007-05-29,1.3451,1.3519,1.3419,1.3448,1.3491679270167745,-0.0032374969262963,40.14962593516208,1.2607370462732774,7.436602959765004e-05,0.0074360499702558,0,0,-0.0014128494943486114,0.0,-0.0,1.0143515371251606,1.0569201342642627
